number of vertices,number equations (full),time (full),num equations (closed),time (closed)
1,2,0.9087,2,0.5819
1,2,0.2925,2,0.3849
1,2,0.2890,2,0.2917
1,2,0.2732,2,0.2870
1,2,0.3392,2,0.2945
1,2,0.1900,2,0.2936
1,2,0.2415,2,0.2679
1,2,0.3141,2,0.2208
1,2,0.2736,2,0.2859
1,2,0.2603,2,0.3355
2,6,0.26711,6,0.12221
2,6,0.7503,6,0.11597
2,6,0.9580,6,0.11487
2,6,0.11508,6,0.11639
2,6,0.8389,6,0.10558
2,6,0.10947,6,0.11960
2,6,0.22818,6,0.32589
2,6,0.27997,6,0.26036
2,6,0.12901,6,0.16122
2,6,0.10900,6,0.14795
3,13,0.164176,12,0.178602
3,13,0.114863,12,0.106733
3,13,0.43849,12,0.51296
3,13,0.33830,12,0.59024
3,13,0.93289,12,0.106021
3,13,0.34555,12,0.44371
3,13,0.38467,12,0.40076
3,13,0.31444,12,0.66623
3,13,0.43758,12,0.42906
3,13,0.42731,12,0.45816
4,23,0.303242,17,0.150405
4,23,0.171806,17,0.193387
4,23,0.173484,17,0.214456
4,23,0.175038,17,0.224023
4,23,0.172403,17,0.202723
4,23,0.85447,17,0.87155
4,23,0.232592,17,0.187190
4,23,0.187514,17,0.160996
4,23,0.70576,17,0.78375
4,23,0.217414,17,0.185045
5,47,0.645151,22,0.363599
5,47,0.653385,22,0.337228
5,36,0.473985,22,0.274914
5,47,0.631446,22,0.395353
5,47,0.484343,22,0.319140
5,47,0.649102,22,0.347543
5,36,0.437037,22,0.297113
5,36,0.422816,22,0.260857
5,36,0.405319,22,0.267336
5,36,0.436064,22,0.267736
6,70,1.501380,27,0.719078
6,70,1.448059,27,0.657851
6,77,1.197164,27,0.562049
6,70,1.77172,27,0.555647
6,99,1.727272,27,0.568410
6,117,2.611428,27,0.588763
6,70,1.38316,27,0.595676
6,77,1.133577,27,0.607281
6,70,1.12112,27,0.573501
6,70,1.134107,27,0.634471
7,110,2.226236,32,0.637070
7,96,1.640887,32,0.692490
7,71,1.168299,32,0.723256
7,110,2.97008,32,0.643486
7,71,1.23497,32,0.651413
7,132,2.919558,32,0.712286
7,71,1.285056,32,0.797367
7,110,1.993700,32,0.673823
7,168,4.161460,32,0.784597
7,110,2.63973,32,0.656715
8,243,7.473000,37,0.800439
8,218,5.965681,37,0.840832
8,174,4.297251,37,0.793053
8,610,27.158788,37,1.19081
8,125,2.450517,37,0.790042
8,272,8.700252,37,0.911185
8,174,4.681650,37,0.829820
8,153,3.618760,37,0.873639
8,243,7.277786,37,0.915138
8,93,1.614439,37,0.764246
9,199,5.744736,42,0.938045
9,118,2.240787,42,0.901688
9,271,8.871463,42,1.135718
9,185,5.701901,42,0.947266
9,346,12.168184,42,1.1488
9,382,13.983686,42,1.48100
9,282,9.138492,42,0.931369
9,346,12.58243,42,1.5060
9,157,3.927691,42,0.931250
9,246,7.607626,42,0.919733
10,192,5.474961,47,1.22102
10,352,12.322116,47,1.186292
10,146,3.224410,47,1.68674
10,423,16.565021,47,1.116775
10,524,21.195454,47,1.172534
10,248,7.709913,47,1.127629
10,283,9.713778,47,1.102513
10,643,29.456221,47,2.130847
10,875,43.190608,47,1.356484
10,445,16.713737,47,1.152921
